timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730325150717,222,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-1,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,222,0,30
1730325150746,204,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-2,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,204,0,13
1730325150771,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-3,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,16
1730325150796,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-4,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,17
1730325150821,204,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-5,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,204,0,14
1730325150846,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-6,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,211,0,21
1730325150871,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-7,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,19
1730325150892,215,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-8,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,215,0,23
1730325150917,205,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-9,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,205,0,14
1730325150943,209,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-10,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,209,0,17
1730325150971,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-11,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,20
1730325150997,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-12,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,15
1730325151071,209,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-15,text,true,,278,905,11,11,http://10.64.13.61/perfmonitor/v1/applications,209,0,16
1730325151046,235,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-14,text,true,,278,905,11,11,http://10.64.13.61/perfmonitor/v1/applications,235,0,17
